Gi?,Nhi?t ?? d? ?o‡n [oC],?? ?m d? ?o‡n [%],çnh s‡ng d? ?o‡n [W/m2],D? ?o‡n m?a,D? ?o‡n n?ng,Khuy?n ngh?,Tr?ng s? nhi?t ??,Tr?ng s? ?? ?m,T?ng tr?ng s?,D? ?o‡n n?ng
1,25.6,82.8,0,no,tr?i t?i,100%,4,5,4.6,0
2,25.1,83.1,0,no,tr?i t?i,100%,4,5,4.6,0
3,24.6,86.5,0,no,tr?i t?i,75%,4,6,5.2,0
4,23.9,89.9,0,no,tr?i t?i,75%,5,6,5.6,0
5,23.4,90.5,14.64730263,yes,tr?i t?i,50%,5,7,6.2,0
6,23.2,91.7,25.78609085,yes,tr?i t?i,50%,5,7,6.2,0
7,25.6,76.5,79.7671051,no,n?ng nh?,100%,4,4,4,1
8,26.2,75.2,130.3968964,no,n?ng nh?,100%,5,4,4.4,1
9,28,64.2,458.3119507,no,tr?i n?ng,100%,5,2.5,3.5,2
10,30.8,47,679.1079712,no,n?ng g?t,100%,4,1,2.2,3
11,33.4,37.3,852.4689941,no,n?ng g?t,100%,3,0.5,1.5,3
12,34.9,29.6,450.8434448,no,tr?i n?ng,100%,3,0.5,1.5,2
13,35.8,28.6,788.7572021,no,n?ng g?t,100%,2.5,0.5,1.3,3
14,36.2,27,484.7685852,no,tr?i n?ng,100%,2.5,0.5,1.3,2
15,36.7,29.3,565.8621826,no,n?ng g?t,100%,2.5,0.5,1.3,3
16,36.6,32.3,77.42417908,no,n?ng nh?,100%,2.5,0.5,1.3,1
17,35.8,38,100.7989502,no,n?ng nh?,100%,2.5,0.5,1.3,1
18,34.2,44.6,225.3500977,no,n?ng nh?,100%,3,1,1.8,1
19,32.1,42.3,287.2237244,no,tr?i n?ng,100%,3,1,1.8,2
20,29.6,50.4,0,no,tr?i t?i,100%,5,1.5,2.9,0
21,27.2,86.3,0,no,tr?i t?i,75%,5,6,5.6,0
22,26.2,84.6,0,no,tr?i t?i,100%,5,5,5,0
23,26.2,76.5,0,no,tr?i t?i,100%,5,4,4.4,0
24,26.5,79.6,0,no,tr?i t?i,100%,5,4,4.4,0
25,26.7,77.7,0,no,tr?i t?i,100%,5,4,4.4,0
26,26.9,75.6,0,no,tr?i t?i,100%,5,4,4.4,0
27,26.9,76,0,no,tr?i t?i,100%,5,4,4.4,0
28,27,76.1,0,no,tr?i t?i,100%,5,4,4.4,0
29,27,76,14.64730263,no,tr?i t?i,100%,5,4,4.4,0
30,26.8,76.6,25.78609085,no,tr?i t?i,100%,5,4,4.4,0
31,29.2,67.5,79.7671051,no,n?ng nh?,100%,5,3,3.8,1
32,29.6,66.4,130.3968964,no,n?ng nh?,100%,5,3,3.8,1
33,30.5,61.7,355.2525635,no,tr?i n?ng,100%,4,2.5,3.1,2
34,32.1,53.5,504.1925049,no,n?ng g?t,100%,3,1.5,2.1,3
35,33.9,46.9,1056.568359,no,n?ng g?t,100%,3,1,1.8,3
36,33.6,45.9,900.5276489,no,n?ng g?t,100%,3,1,1.8,3
37,32.8,48.4,376.4900208,no,tr?i n?ng,100%,3,1,1.8,2
38,33.4,45.1,792.3029785,no,n?ng g?t,100%,3,1,1.8,3
39,33,51.4,306.3743591,no,tr?i n?ng,100%,3,1.5,2.1,2
40,32.1,50.9,447.4032288,no,tr?i n?ng,100%,3,1.5,2.1,2
41,31.2,54.8,84.39355469,no,n?ng nh?,100%,4,1.5,2.5,1
42,29.9,57,102.3521194,no,n?ng nh?,100%,5,2,3.2,1
43,29.3,60.3,0,no,tr?i t?i,100%,5,2.5,3.5,0
44,28.7,65.2,0,no,tr?i t?i,100%,5,3,3.8,0
45,28.1,68.3,0,no,tr?i t?i,100%,5,3,3.8,0
46,27.4,74.1,0,no,tr?i t?i,100%,5,3.5,4.1,0
47,26.8,78.2,0,no,tr?i t?i,100%,5,4,4.4,0
48,26.3,80.5,0,no,tr?i t?i,100%,5,5,5,0
